,,,,,,,,Component Count:,74
,,,,,,,,,
Ref,Qnty,Value,Description,,,,,,
,,,,,,,,,
"C1, C2, C3, ",3,220uf,Polarized capacitor,,,,,,
,,,,,,,,,
"C4, ",1,10PF,Unpolarized capacitor,,,,,,
,,,,,,,,,
"C5, ",1,1NF,Unpolarized capacitor,,,,,,
,,,,,,,,,
"C6, ",1,47NF,Unpolarized capacitor,,,,,,
,,,,,,,,,
"GND1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"H1, H2, H3, H4, H5, H6, ",6,MountingHole,Mounting Hole without connection,,,,,,
,,,,,,,,,
"IN+1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"IN-1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"IN_RCA1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"OUT1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"OUT_GND1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"Q1, Q2, Q3, ",3,IRFP9610,"P-MOSFET transistor, gate/drain/source",,,,,,
,,,,,,,,,
"Q4, Q5, ",2,ZTX450,"NPN transistor, emitter/base/collector",,,,,,
,,,,,,,,,
"Q8, Q9, Q10, Q11, Q12, Q13, ",6,IRFP240,"N-MOSFET transistor, gate/drain/source",,,,,,
,,,,,,,,,
"R0, ",1,3/3W,Resistor,,,,,,
,,,,,,,,,
"R1, ",1,10K,Resistor,,,,,,
,,,,,,,,,
"R2, R15, ",2,100K,Resistor,,,,,,
,,,,,,,,,
"R3, ",1,68.1K,Resistor,,,,,,
,,,,,,,,,
"R4, R7, R8, R11, R21, R29, R30, R31, R32, R33, R34, ",11,221,Resistor,,,,,,
,,,,,,,,,
"R5, ",1,4.75K,Resistor,,,,,,
,,,,,,,,,
"R6, ",1,Adjust,Resistor,,,,,,
,,,,,,,,,
"R9, ",1,10k,Resistor,,,,,,
,,,,,,,,,
"R10, ",1,68.1k,Resistor,,,,,,
,,,,,,,,,
"R12, ",1,825,Resistor,,,,,,
,,,,,,,,,
"R13, ",1,47.5K,Resistor,,,,,,
,,,,,,,,,
"R14, R16, ",2,1.5K,Resistor,,,,,,
,,,,,,,,,
"R17, R18, ",2,392,Resistor,,,,,,
,,,,,,,,,
"R20, ",1,1K,Resistor,,,,,,
,,,,,,,,,
"R23, R24, R25, R26, R35, R36, R37, R38, R39, R40",10,0.47/3W,Resistor,,,,,,
,,,,,,,,,
,,,,,,,,,
"SG_GND1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"V+1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"V-1, ",1,Conn_01x01_Male,"Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,
,,,,,,,,,
"Z1, Z2, Z3, Z4, Z5, ",5,9.1V,Zener diode,,,,,,
