Item,Qty,Reference(s),Value
1,2,"C1, C19",560pf
2,3,"C2, C8, C13",33uf
3,1,C3,4700uf/16V
4,2,"C4, C21",820pf
5,4,"C5, C7, C22, C24",0.1uf
6,6,"C6, C11, C12, C23, C28, C29",0.47uf
7,4,"C9, C10, C26, C27",100uf
8,3,"C14, C17, C18",220uf
9,4,"C15, C16, C31, C32",220uf
24,6,"R1, R22, R23, R31, R51, R52",4K7
25,10,"R2, R10, R12, R20, R21, R32, R39, R41, R49, R50",270K
26,2,"R3, R33",6k8
27,2,"R4, R34",100R
28,8,"R5, R6, R16, R17, R35, R36, R45, R46",47K
29,1,R7,1R/2.5W
30,6,"R8, R9, R18, R19, R37, R38",2K2
31,2,"R11, R40",220K
32,2,"R13, R42",22K
33,4,"R14, R15, R43, R44",1K
34,4,"R24, R25, R53, R54",560R
35,4,"R26, R27, R55, R56",100R
36,1,R28,47R
37,1,R29,470K
38,1,R30,1K
