"Source:","C:\Users\Simao\Documents\Audio Projects\Kicad projects\FINAL VERSIONS\Lynx AMP\Lynx AMP.kicad_sch"
"Date:","7/4/2022 5:19:16 PM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","10nF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C2","10uF/25V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C3","47pF","Device:C","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C4","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C5","10nF/16V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C6","220uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","C7","220uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"","","D1","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"","","D2","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"","","D3","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"","","D4","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"","","D5","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"","","D6","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"","","J1","IN","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","J2","OUT","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","J3","V+","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","J4","V-","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","J5","GND","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","J6","GND","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","J7","GND","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"","","Q1","BC556","Transistor_BJT:BC556","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"","","Q2","BC556","Transistor_BJT:BC556","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"","","Q3","BC556","Transistor_BJT:BC556","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"","","Q4","BC546","Transistor_BJT:BC546","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q5","BC556","Transistor_BJT:BC556","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"","","Q6","BC546","Transistor_BJT:BC546","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"","","Q7","BC556","Transistor_BJT:BC556","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"","","Q8","MJL21194","Device:Q_NPN_BCE","Package_TO_SOT_THT:TO-264-3_Vertical","~"
"","","Q9","MJL21193","Device:Q_PNP_BCE","Package_TO_SOT_THT:TO-264-3_Vertical","~"
"","","Q10","MJ15003","Transistor_BJT:2N3055","Package_TO_SOT_THT:TO-3","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"","","Q11","MJ15004 ","Transistor_BJT:MJ2955","Package_TO_SOT_THT:TO-3","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"","","R1","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R2","56K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R3","1.5K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R4","560","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R5","22K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R6","22K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R7","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R8","82K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R9","2.7K-3.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R10","56K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R11","47","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R12","150","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R13","82/1W","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R14","82/1W","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R15","470/1W","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"","","R16","0R33/5W","Device:R_US","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal","~"
"","","R17","0R33/5W","Device:R_US","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal","~"
"","","RV1","56K","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"
"","","RV2","1K","Device:R_Potentiometer_Trim_US","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10nF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"2","1","C2","10uF/25V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"3","1","C3","47pF","Device:C","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"4","1","C4","47uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"5","1","C5","10nF/16V","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"6","2","C6, C7","220uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","~"
"7","6","D1, D2, D3, D4, D5, D6","1N4149","Diode:1N4149","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.microsemi.com/document-portal/doc_view/11580-lds-0239"
"8","1","J1","IN","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"9","1","J2","OUT","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"10","1","J3","V+","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"11","1","J4","V-","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"12","3","J5, J6, J7","GND","Connector:Conn_01x01_Male","Custom Library:Spade Conector 6.3mm TE_1217861","~"
"13","5","Q1, Q2, Q3, Q5, Q7","BC556","Transistor_BJT:BC556","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"14","2","Q4, Q6","BC546","Transistor_BJT:BC546","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"15","1","Q8","MJL21194","Device:Q_NPN_BCE","Package_TO_SOT_THT:TO-264-3_Vertical","~"
"16","1","Q9","MJL21193","Device:Q_PNP_BCE","Package_TO_SOT_THT:TO-264-3_Vertical","~"
"17","1","Q10","MJ15003","Transistor_BJT:2N3055","Package_TO_SOT_THT:TO-3","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"18","1","Q11","MJ15004 ","Transistor_BJT:MJ2955","Package_TO_SOT_THT:TO-3","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"19","2","R1, R7","1K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"20","2","R2, R10","56K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"21","1","R3","1.5K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"22","1","R4","560","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"23","2","R5, R6","22K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"24","1","R8","82K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"25","1","R9","2.7K-3.7K","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"26","1","R11","47","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"27","1","R12","150","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"28","2","R13, R14","82/1W","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"29","1","R15","470/1W","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"30","2","R16, R17","0R33/5W","Device:R_US","Resistor_THT:R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal","~"
"31","1","RV1","56K","Device:R_Potentiometer_US","Connector_Wire:SolderWire-0.5sqmm_1x03_P4.6mm_D0.9mm_OD2.1mm","~"
"32","1","RV2","1K","Device:R_Potentiometer_Trim_US","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","~"
