"Source:","C:\Users\Simao\Documents\Audio Projects\Kicad projects\2N3055 AMP\2N3055 AMP.kicad_sch"
"Date:","1/10/2022 12:24:31 AM"
"Tool:","Eeschema (6.0.0)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","36"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","10-47uf","C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","Polarized capacitor",""
"C2, C5, ","2","100-220uf","C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm_P7.50mm","Polarized capacitor",""
"C3, ","1","1500uf","C_Polarized","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm","Polarized capacitor",""
"C4, ","1","100-500nf","C","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C6, ","1","100-200pf","C","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"C7, ","1","100nf","C","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","Unpolarized capacitor",""
"J1, ","1","GND","Conn_01x01_Male","Custom Library:M4_Screw_Terminal","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","IN","Conn_01x01_Male","Connector_Wire:SolderWire-1.5sqmm_1x01_D1.7mm_OD3.9mm","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","50-60V","Conn_01x01_Male","Custom Library:M4_Screw_Terminal","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","OUT","Conn_01x01_Male","Custom Library:M4_Screw_Terminal","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, ","2","2N3055","Q_NPN_BEC","Package_TO_SOT_THT:TO-3","NPN transistor, base/emitter/collector",""
"Q3, Q4, ","2","BC286","Q_NPN_BEC","Package_TO_SOT_THT:TO-39-3","NPN transistor, base/emitter/collector",""
"Q5, ","1","BC107","Q_NPN_BEC","Package_TO_SOT_THT:TO-18-3","NPN transistor, base/emitter/collector",""
"Q6, ","1","BC212","Q_PNP_ECB","Package_TO_SOT_THT:TO-92L_Inline_Wide","PNP transistor, emitter/collector/base",""
"Q7, ","1","BC287","Q_PNP_ECB","Package_TO_SOT_THT:TO-39-3","PNP transistor, emitter/collector/base",""
"R1, ","1","56-68K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R2, ","1","470-560K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R3, R4, ","2","1-3K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R5, R6, ","2","330-470","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R7, ","1","2-3K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R8, R14, ","2","100-300","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R9, R15, ","2","10-20","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R10, R16, ","2","0.3-0.5","R","Resistor_THT:R_Axial_Power_L25.0mm_W9.0mm_P27.94mm","Resistor",""
"R11, ","1","270-300k","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R12, ","1","0.5-1K","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R13, ","1","20-100","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"R17, ","1","10","R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","Resistor",""
"RV1, ","1","500","R_Potentiometer_US","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","Potentiometer, US symbol",""
